A1,A2,A3,A4,A5,A6,A7
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.196539498282365e-09,0.0,-1.391141682245498e-08,0.0,1.0982697491411826e-08,0.0
0.0,-1.7548541774272982e-08,0.0,-1.1114076457039555e-07,0.0,8.774270887136491e-08,0.0
0.0,-5.914614846672703e-08,0.0,-3.7459227362260453e-07,0.0,2.9573074233363517e-07,0.0
0.0,-1.400083588486899e-07,0.0,-8.867196060417026e-07,0.0,7.000417942434494e-07,0.0
0.0,-2.730831585919598e-07,0.0,-1.7295266710824123e-06,0.0,1.365415792959799e-06,0.0
0.0,-4.7124764853155074e-07,0.0,-2.9845684406998212e-06,0.0,2.3562382426577537e-06,0.0
0.0,-7.473081734301559e-07,0.0,-4.732951765057654e-06,0.0,3.7365408671507793e-06,0.0
0.0,-1.1140004507426086e-06,0.0,-7.05533618803652e-06,0.0,5.570002253713043e-06,0.0
0.0,-1.583989699380348e-06,0.0,-1.0031934762742204e-05,0.0,7.919948496901741e-06,0.0
0.0,-2.169870768475879e-06,0.0,-1.3742514867013898e-05,0.0,1.0849353842379394e-05,0.0
0.0,-2.884168266147236e-06,0.0,-1.8266399018932497e-05,0.0,1.442084133073618e-05,0.0
0.0,-3.739336688262449e-06,0.0,-2.368246569232884e-05,0.0,1.8696683441312243e-05,0.0
0.0,-4.747760547204001e-06,0.0,-3.0069150132292004e-05,0.0,2.3738802736020002e-05,0.0
0.0,-5.9217545006332955e-06,0.0,-3.750444517067754e-05,0.0,2.960877250316648e-05,0.0
0.0,-7.273563480255112e-06,0.0,-4.6065902041615705e-05,0.0,3.636781740127556e-05,0.0
0.0,-8.815362820582078e-06,0.0,-5.583063119701983e-05,0.0,4.407681410291039e-05,0.0
0.0,-1.055925838769913e-05,0.0,-6.68753031220945e-05,0.0,5.2796291938495656e-05,0.0
0.0,-1.2517286708027976e-05,0.0,-7.927614915084385e-05,0.0,6.258643354013988e-05,0.0
0.0,-1.470141509709154e-05,0.0,-9.310896228157975e-05,0.0,7.35070754854577e-05,0.0
0.0,-1.7123541788278465e-05,0.0,-0.00010844909799243028,0.0,8.561770894139233e-05,0.0
0.0,-1.979549606160753e-05,0.0,-0.0001253714750568477,0.0,9.897748030803766e-05,0.0
0.0,-2.2729038372492157e-05,0.0,-0.00014395057635911698,0.0,0.00011364519186246079,0.0
0.0,-2.5935860480504838e-05,0.0,-0.00016426044970986397,0.0,0.0001296793024025242,0.0
0.0,-2.94275855781416e-05,0.0,-0.00018637470866156346,0.0,0.000147137927890708,0.0
0.0,-3.321576841958651e-05,0.0,-0.0002103665333240479,0.0,0.00016607884209793254,0.0
0.0,-3.7311895449476086e-05,0.0,-0.00023630867118001523,0.0,0.00018655947724738044,0.0
0.0,-4.17273849316638e-05,0.0,-0.00026427343790053743,0.0,0.00020863692465831901,0.0
0.0,-4.6473587077984487e-05,0.0,-0.0002943327181605684,0.0,0.00023236793538992243,0.0
0.0,-5.1561784177018855e-05,0.0,-0.00032655796645445276,0.0,0.0002578089208850943,0.0
0.0,-5.700319072285796e-05,0.0,-0.00036102020791143377,0.0,0.0002850159536142898,0.0
0.0,-6.280895354386763e-05,0.0,-0.00039779003911116165,0.0,0.0003140447677193381,0.0
0.0,-6.899015193145293e-05,0.0,-0.0004369376288992019,0.0,0.0003449507596572647,0.0
0.0,-7.555779776882265e-05,0.0,-0.0004785327192025435,0.0,0.00037778898884411325,0.0
0.0,-8.252283565975376e-05,0.0,-0.0005226446258451072,0.0,0.0004126141782987688,0.0
0.0,-8.989614305735589e-05,0.0,-0.000569342239363254,0.0,0.00044948071528677945,0.0
0.0,-9.76885303928357e-05,0.0,-0.0006186940258212927,0.0,0.0004884426519641785,0.0
0.0,-0.00010591074120426141,0.0,-0.000670768027626989,0.0,0.000529553706021307,0.0
0.0,-0.00011457345226532739,0.0,-0.0007256318643470734,0.0,0.0005728672613266369,0.0
0.0,-0.00012368727371411838,0.0,-0.0007833527335227498,0.0,0.0006184363685705919,0.0
0.0,-0.00013326274918187413,0.0,-0.0008439974114852029,0.0,0.0006663137459093707,0.0
0.0,-0.00014331035592175378,0.0,-0.0009076322541711072,0.0,0.0007165517796087689,0.0
0.0,-0.0001538405049376003,0.0,-0.0009743231979381353,0.0,0.0007692025246880016,0.0
0.0,-0.00016486354111270516,0.0,-0.001044135760380466,0.0,0.0008243177055635258,0.0
0.0,-0.00017638974333857244,0.0,-0.001117135041144292,0.0,0.0008819487166928622,0.0
0.0,-0.0001884293246436836,0.0,-0.0011933857227433293,0.0,0.0009421466232184179,0.0
0.0,-0.0002009924323222618,0.0,-0.0012729520713743248,0.0,0.001004962161611309,0.0
0.0,-0.00021408914806303638,0.0,-0.0013558979377325637,0.0,0.0010704457403151817,0.0
0.0,-0.00022772948807800735,0.0,-0.0014422867578273797,0.0,0.0011386474403900367,0.0
0.0,-0.00024192340323120985,0.0,-0.0015321815537976623,0.0,0.0012096170161560492,0.0
0.0,-0.00025668077916747855,0.0,-0.0016256449347273642,0.0,0.0012834038958373928,0.0
